id_tercero,tipo_sujeto,nombres,apellidos,fecha_nacimiento,nacionalidad,numero_documento,tipo_documento,pais_residencia,coincidencia
T0001080,PERSONA_NATURAL,DANIEL CARLOS,SANCHEZ SANCHEZ,2004-11-04,ESTADOUNIDENSE,D1491374,PASAPORTE,PERU,0
T0001081,PERSONA_NATURAL,JUAN MARIA,GOMEZ LOPEZ,2005-12-24,ESPAÑOLA,375483367,CC,VENEZUELA,0
T0001082,PERSONA_NATURAL,ANA JORGE,PEREZ PEREZ,1966-01-04,COLOMBIANA,171151841,CE,ECUADOR,0
T0001083,PERSONA_NATURAL,CAMILA DANIEL,HERNANDEZ RODRIGUEZ,1958-10-15,VENEZOLANA,695761699,CC,MEXICO,0
T0001084,PERSONA_NATURAL,DANIEL DAVID,SANCHEZ GOMEZ,1983-09-08,BRASILEÑA,P5706707,PASAPORTE,USA,0
T0001085,PERSONA_NATURAL,LAURA LUISA,GOMEZ HERNANDEZ,1999-05-23,VENEZOLANA,1209402320,CE,PERU,0
T0001086,PERSONA_NATURAL,SARA LUISA,GOMEZ GOMEZ,1981-01-07,COLOMBIANA,G8854260,PASAPORTE,ESPAÑA,0
T0001087,PERSONA_NATURAL,ANDRES ANA,MARTINEZ RAMIREZ,1998-09-17,ESTADOUNIDENSE,1531518715,CE,BRASIL,0
T0001088,PERSONA_NATURAL,JORGE ANDRES,RODRIGUEZ MARTINEZ,1973-07-15,ARGENTINA,1685082479,CC,ESPAÑA,0
T0001089,PERSONA_NATURAL,CARLOS DANIEL,RODRIGUEZ HERNANDEZ,2005-10-21,VENEZOLANA,999891431,CC,VENEZUELA,0
T0001090,PERSONA_NATURAL,LUISA JUAN,SANCHEZ RODRIGUEZ,1967-01-16,ARGENTINA,765821525,CE,ECUADOR,0
T0001091,PERSONA_NATURAL,JORGE ANDRES,LOPEZ GARCIA,1963-03-13,ARGENTINA,1100764544,CE,USA,0
T0001092,PERSONA_NATURAL,CARLOS ANA,GOMEZ PEREZ,1991-07-24,ESPAÑOLA,641372857,CC,PERU,0
T0001093,PERSONA_NATURAL,CAMILA CARLOS,TORRES RAMIREZ,1981-09-14,VENEZOLANA,B5176591,PASAPORTE,VENEZUELA,0
T0001094,PERSONA_NATURAL,JUAN JUAN,RAMIREZ HERNANDEZ,1965-02-18,VENEZOLANA,496329906,CE,ESPAÑA,0
T0001095,PERSONA_NATURAL,ANDRES LUISA,HERNANDEZ SANCHEZ,1963-03-26,PERUANA,1377730650,CE,ECUADOR,0
T0001096,PERSONA_NATURAL,CARLOS SARA,PEREZ GOMEZ,1961-09-23,BRASILEÑA,J5003370,PASAPORTE,MEXICO,0
T0001097,PERSONA_NATURAL,ANDRES MARIA,RODRIGUEZ LOPEZ,1979-03-01,BRASILEÑA,727375837,CE,COLOMBIA,0
T0001098,PERSONA_NATURAL,CARLOS ANDRES,RODRIGUEZ PEREZ,1988-06-16,COLOMBIANA,1885222532,CE,PERU,0
T0001099,PERSONA_NATURAL,MARIA ANDRES,GOMEZ HERNANDEZ,2001-12-11,BRASILEÑA,1588003206,CE,USA,0
T0001100,PERSONA_JURIDICA,HERNANDEZ SANCHEZ INVERSIONES S.A. 7526,,,,114561069,NIT,USA,0
T0001101,PERSONA_NATURAL,ANA JORGE,RAMIREZ SANCHEZ,1957-05-22,ARGENTINA,U1347746,PASAPORTE,MEXICO,0
T0001102,PERSONA_JURIDICA,MARTINEZ RODRIGUEZ INVERSIONES S.A.S. 516,,,,362387930,NIT,ESPAÑA,0
T0001103,PERSONA_NATURAL,SARA ANDRES,MARTINEZ GARCIA,1990-02-09,ARGENTINA,1891395045,CE,ARGENTINA,0
T0001104,PERSONA_NATURAL,JUAN CAMILA,TORRES LOPEZ,2003-10-04,ESPAÑOLA,1226898302,CE,USA,0
T0001105,PERSONA_NATURAL,JUAN LAURA,RODRIGUEZ SANCHEZ,1993-03-17,ECUATORIANA,R3728089,PASAPORTE,ECUADOR,0
T0001106,PERSONA_NATURAL,ANDRES CARLOS,PEREZ SANCHEZ,1952-04-10,VENEZOLANA,1058758957,CC,ECUADOR,0
T0001107,PERSONA_NATURAL,ANA DAVID,PEREZ PEREZ,1966-03-12,ECUATORIANA,V3601089,PASAPORTE,VENEZUELA,0
T0001108,PERSONA_NATURAL,MARIA SARA,MARTINEZ GARCIA,1987-02-10,PERUANA,1026141507,CC,USA,0
T0001109,PERSONA_NATURAL,DAVID DAVID,GARCIA GARCIA,1975-02-09,ECUATORIANA,J3907524,PASAPORTE,ESPAÑA,0
T0001110,PERSONA_NATURAL,ANA CAMILA,RODRIGUEZ MARTINEZ,1966-03-14,ARGENTINA,656526296,CC,ECUADOR,0
T0001111,PERSONA_NATURAL,CAMILA DAVID,SANCHEZ TORRES,1961-07-26,ESPAÑOLA,307662440,CC,ARGENTINA,0
T0001112,PERSONA_NATURAL,ANA JORGE,LOPEZ SANCHEZ,1972-07-15,ESPAÑOLA,1000599809,CE,COLOMBIA,0
T0001113,PERSONA_JURIDICA,PEREZ GARCIA COMERCIAL LTDA 4964,,,,944639764,NIT,PERU,0
T0001114,PERSONA_NATURAL,ANA MARIA,RAMIREZ TORRES,1986-05-02,ESPAÑOLA,875311624,CC,COLOMBIA,0
T0001115,PERSONA_NATURAL,JORGE LAURA,PEREZ GOMEZ,1953-05-27,VENEZOLANA,1286334767,CE,VENEZUELA,0
T0001116,PERSONA_NATURAL,CAMILA LAURA,LOPEZ PEREZ,1957-12-19,ARGENTINA,W1889532,PASAPORTE,PERU,0
T0001117,PERSONA_NATURAL,JORGE SARA,SANCHEZ RODRIGUEZ,1964-11-21,MEXICANA,1359133970,CE,ECUADOR,0
T0001118,PERSONA_NATURAL,JUAN LAURA,RAMIREZ MARTINEZ,1957-02-01,MEXICANA,D9721175,PASAPORTE,VENEZUELA,0
T0001119,PERSONA_NATURAL,ANDRES LAURA,PEREZ TORRES,1978-07-02,VENEZOLANA,878780270,CE,BRASIL,0
T0001120,PERSONA_JURIDICA,MARTINEZ TORRES INVERSIONES S. EN C. 7204,,,,806693185,NIT,VENEZUELA,0
T0001121,PERSONA_NATURAL,DAVID JUAN,RODRIGUEZ RODRIGUEZ,2002-12-22,PERUANA,1108470095,CC,ARGENTINA,0
T0001122,PERSONA_NATURAL,LAURA CARLOS,HERNANDEZ GOMEZ,1987-08-12,ECUATORIANA,838543829,CE,VENEZUELA,0
T0001123,PERSONA_NATURAL,DANIEL MARIA,PEREZ HERNANDEZ,1979-02-19,ESPAÑOLA,1256696022,CC,ECUADOR,0
T0001124,PERSONA_NATURAL,SARA LAURA,HERNANDEZ PEREZ,1960-06-17,ARGENTINA,759115476,CC,ARGENTINA,0
T0001125,PERSONA_NATURAL,SARA MARIA,HERNANDEZ HERNANDEZ,1975-02-27,BRASILEÑA,1023080383,CE,MEXICO,0
T0001126,PERSONA_NATURAL,JORGE DAVID,TORRES HERNANDEZ,1958-12-11,ESTADOUNIDENSE,T7774201,PASAPORTE,VENEZUELA,0
T0001127,PERSONA_JURIDICA,SANCHEZ LOPEZ TRADING LTDA 3886,,,,213206543,NIT,MEXICO,0
T0001128,PERSONA_NATURAL,DANIEL DANIEL,GOMEZ PEREZ,1989-05-04,COLOMBIANA,C8407618,PASAPORTE,USA,0
T0001129,PERSONA_NATURAL,JUAN MARIA,LOPEZ GOMEZ,1994-08-13,MEXICANA,S4350987,PASAPORTE,PERU,0
T0001130,PERSONA_NATURAL,LAURA DAVID,HERNANDEZ MARTINEZ,1962-12-06,ESPAÑOLA,Z4226188,PASAPORTE,VENEZUELA,0
T0001131,PERSONA_NATURAL,DANIEL CAMILA,TORRES GOMEZ,1971-03-22,ARGENTINA,418315885,CE,PERU,0
T0001132,PERSONA_NATURAL,LAURA JORGE,LOPEZ LOPEZ,1989-09-28,MEXICANA,952483470,CC,ESPAÑA,0
T0001133,PERSONA_NATURAL,ANDRES CAMILA,GOMEZ RODRIGUEZ,2000-09-10,VENEZOLANA,1080976387,CC,PERU,0
T0001134,PERSONA_NATURAL,JORGE ANA,PEREZ MARTINEZ,2002-05-27,ECUATORIANA,1520267946,CE,USA,0
T0001135,PERSONA_NATURAL,CAMILA JORGE,HERNANDEZ GARCIA,1989-01-18,VENEZOLANA,P5413298,PASAPORTE,COLOMBIA,0
T0001136,PERSONA_NATURAL,DANIEL CARLOS,MARTINEZ LOPEZ,1998-01-05,PERUANA,X6529924,PASAPORTE,COLOMBIA,0
T0001137,PERSONA_NATURAL,ANDRES CAMILA,RAMIREZ PEREZ,1972-02-14,VENEZOLANA,P3172055,PASAPORTE,ECUADOR,0
T0001138,PERSONA_NATURAL,ANDRES JUAN,SANCHEZ TORRES,1964-11-12,ESPAÑOLA,661585950,CE,PERU,0
T0001139,PERSONA_NATURAL,JUAN JUAN,MARTINEZ TORRES,1988-07-22,COLOMBIANA,P1874771,PASAPORTE,ESPAÑA,0
T0001140,PERSONA_NATURAL,SARA MARIA,GARCIA GARCIA,1985-03-04,BRASILEÑA,1936607926,CC,USA,0
T0001141,PERSONA_NATURAL,ANA DANIEL,PEREZ MARTINEZ,1964-02-19,COLOMBIANA,897051364,CC,ARGENTINA,0
T0001142,PERSONA_NATURAL,JUAN SARA,MARTINEZ PEREZ,1954-01-05,BRASILEÑA,616870253,CC,COLOMBIA,0
T0001143,PERSONA_NATURAL,CAMILA DAVID,MARTINEZ HERNANDEZ,1958-10-13,BRASILEÑA,D2288554,PASAPORTE,VENEZUELA,0
T0001144,PERSONA_NATURAL,JORGE LUISA,SANCHEZ LOPEZ,2004-04-15,ECUATORIANA,1685484796,CE,ARGENTINA,0
T0001145,PERSONA_NATURAL,DAVID LUISA,TORRES HERNANDEZ,1970-12-18,ARGENTINA,125958817,CC,USA,0
T0001146,PERSONA_JURIDICA,RAMIREZ SANCHEZ INVERSIONES SAS 3345,,,,247243809,NIT,ARGENTINA,0
T0001147,PERSONA_NATURAL,SARA JORGE,MARTINEZ GOMEZ,1973-12-27,MEXICANA,514884667,CC,BRASIL,0
T0001148,PERSONA_NATURAL,LAURA ANDRES,PEREZ SANCHEZ,2003-01-09,ECUATORIANA,M6040091,PASAPORTE,VENEZUELA,0
T0001149,PERSONA_NATURAL,CAMILA DANIEL,SANCHEZ PEREZ,2005-07-13,BRASILEÑA,491999385,CC,PERU,0
T0001150,PERSONA_NATURAL,DAVID DANIEL,TORRES PEREZ,1992-05-02,ARGENTINA,65817603,CE,USA,0
T0001151,PERSONA_JURIDICA,HERNANDEZ RAMIREZ SERVICIOS SAS 5596,,,,879307086,NIT,ESPAÑA,0
T0001152,PERSONA_JURIDICA,PEREZ GOMEZ HOLDING S.A.S. 4719,,,,674195660,NIT,BRASIL,0
T0001153,PERSONA_NATURAL,SARA CAMILA,TORRES HERNANDEZ,1960-07-15,PERUANA,1959297962,CC,COLOMBIA,0
T0001154,PERSONA_NATURAL,DAVID CARLOS,GOMEZ MARTINEZ,1999-09-10,ESTADOUNIDENSE,M1647704,PASAPORTE,ECUADOR,0
T0001155,PERSONA_NATURAL,DAVID CARLOS,RAMIREZ PEREZ,1957-05-19,ESTADOUNIDENSE,1830191393,CE,MEXICO,0
T0001156,PERSONA_NATURAL,JUAN LAURA,PEREZ SANCHEZ,1952-06-16,ARGENTINA,887485206,CC,COLOMBIA,0
T0001157,PERSONA_NATURAL,CARLOS CARLOS,SANCHEZ RODRIGUEZ,1964-11-06,MEXICANA,U1831808,PASAPORTE,PERU,0
T0001158,PERSONA_NATURAL,JUAN MARIA,TORRES SANCHEZ,1987-06-02,ARGENTINA,H2020270,PASAPORTE,ECUADOR,0
T0001159,PERSONA_JURIDICA,PEREZ LOPEZ HOLDING CIA 742,,,,744866619,NIT,PERU,0
T0001160,PERSONA_NATURAL,ANDRES JORGE,SANCHEZ GOMEZ,1982-02-08,PERUANA,1234851425,CE,USA,0
T0001161,PERSONA_NATURAL,DAVID DANIEL,GOMEZ GARCIA,1968-03-01,ESTADOUNIDENSE,Z7044611,PASAPORTE,USA,0
T0001162,PERSONA_JURIDICA,LOPEZ SANCHEZ INVERSIONES S. EN C. 520,,,,272134580,NIT,USA,0
T0001163,PERSONA_NATURAL,MARIA CAMILA,PEREZ GOMEZ,1988-04-26,ESTADOUNIDENSE,W9525883,PASAPORTE,USA,0
T0001164,PERSONA_JURIDICA,GARCIA RAMIREZ COMERCIAL CIA 2468,,,,509191906,NIT,VENEZUELA,0
T0001165,PERSONA_JURIDICA,MARTINEZ RAMIREZ HOLDING S. EN C. 8992,,,,888074153,NIT,ESPAÑA,0
T0001166,PERSONA_NATURAL,ANDRES JORGE,PEREZ RAMIREZ,1980-11-17,ARGENTINA,690622080,CE,ECUADOR,0
T0001167,PERSONA_NATURAL,CAMILA CARLOS,MARTINEZ LOPEZ,1965-06-08,BRASILEÑA,1616722087,CE,VENEZUELA,0
T0001168,PERSONA_NATURAL,LAURA SARA,GARCIA LOPEZ,1955-06-18,ARGENTINA,1974164801,CC,USA,0
T0001169,PERSONA_NATURAL,MARIA JORGE,MARTINEZ GARCIA,1993-10-22,MEXICANA,I5813134,PASAPORTE,USA,0
T0001170,PERSONA_NATURAL,ANDRES DANIEL,GARCIA TORRES,1959-10-16,PERUANA,1892066908,CC,BRASIL,0
T0001171,PERSONA_NATURAL,ANDRES DANIEL,HERNANDEZ TORRES,1995-08-24,VENEZOLANA,1877148552,CC,COLOMBIA,0
T0001172,PERSONA_NATURAL,JUAN SARA,RODRIGUEZ GOMEZ,1958-09-28,ARGENTINA,1951884406,CE,ESPAÑA,0
T0001173,PERSONA_NATURAL,DANIEL SARA,TORRES MARTINEZ,1995-05-04,ESTADOUNIDENSE,1280189337,CE,VENEZUELA,0
T0001174,PERSONA_JURIDICA,PEREZ GOMEZ GROUP S.A. 7364,,,,539025895,NIT,BRASIL,0
T0001175,PERSONA_NATURAL,DANIEL CARLOS,SANCHEZ RODRIGUEZ,1996-03-24,ARGENTINA,336968117,CC,COLOMBIA,0
T0001176,PERSONA_NATURAL,ANA DAVID,SANCHEZ GARCIA,1970-08-06,ARGENTINA,S5685869,PASAPORTE,VENEZUELA,0
T0001177,PERSONA_NATURAL,LAURA ANA,PEREZ RAMIREZ,1983-09-19,ARGENTINA,622585172,CE,USA,0
T0001178,PERSONA_NATURAL,MARIA MARIA,PEREZ MARTINEZ,1977-09-09,ESTADOUNIDENSE,755919025,CC,ECUADOR,0
T0001179,PERSONA_NATURAL,CARLOS CARLOS,SANCHEZ SANCHEZ,1964-03-10,ECUATORIANA,Y2780388,PASAPORTE,PERU,0
T0001180,PERSONA_NATURAL,MARIA ANDRES,MARTINEZ TORRES,2003-09-25,MEXICANA,1295036037,CC,COLOMBIA,0
T0001181,PERSONA_JURIDICA,TORRES TORRES TRADING LTDA 119,,,,624378881,NIT,COLOMBIA,0
T0001182,PERSONA_NATURAL,CARLOS CAMILA,GARCIA SANCHEZ,1983-03-27,BRASILEÑA,1981379667,CE,VENEZUELA,0
T0001183,PERSONA_NATURAL,ANDRES LAURA,GARCIA SANCHEZ,1966-02-28,MEXICANA,1581171491,CE,VENEZUELA,0
T0001184,PERSONA_JURIDICA,GOMEZ MARTINEZ GROUP SAS 5369,,,,268284543,NIT,ARGENTINA,0
T0001185,PERSONA_NATURAL,LAURA DAVID,TORRES GOMEZ,1995-12-11,COLOMBIANA,225690677,CE,ARGENTINA,0
T0001186,PERSONA_NATURAL,JORGE DAVID,PEREZ PEREZ,1965-03-19,ESPAÑOLA,1456003026,CC,PERU,0
T0001187,PERSONA_NATURAL,MARIA LAURA,RODRIGUEZ SANCHEZ,1968-03-07,VENEZOLANA,X4593496,PASAPORTE,COLOMBIA,0
T0001188,PERSONA_NATURAL,LAURA JORGE,RAMIREZ MARTINEZ,1995-03-02,ESPAÑOLA,I7380211,PASAPORTE,PERU,0
T0001189,PERSONA_NATURAL,LAURA JORGE,RODRIGUEZ HERNANDEZ,2003-04-10,BRASILEÑA,1720999384,CE,ESPAÑA,0
T0001190,PERSONA_NATURAL,JORGE LAURA,HERNANDEZ GOMEZ,1964-02-25,ECUATORIANA,970296527,CE,USA,0
T0001191,PERSONA_NATURAL,DANIEL ANDRES,RODRIGUEZ SANCHEZ,1970-11-04,ESTADOUNIDENSE,M3148454,PASAPORTE,BRASIL,0
T0001192,PERSONA_NATURAL,LAURA CAMILA,GARCIA MARTINEZ,1951-05-09,ARGENTINA,1920853730,CC,ESPAÑA,0
T0001193,PERSONA_NATURAL,ANA CARLOS,LOPEZ GARCIA,1975-08-14,ESPAÑOLA,1969296932,CE,COLOMBIA,0
T0001194,PERSONA_NATURAL,SARA LUISA,LOPEZ PEREZ,1969-08-14,PERUANA,F9992807,PASAPORTE,PERU,0
T0001195,PERSONA_NATURAL,ANDRES CAMILA,RAMIREZ LOPEZ,1958-10-18,COLOMBIANA,A7361721,PASAPORTE,VENEZUELA,0
T0001196,PERSONA_NATURAL,ANA ANA,TORRES GOMEZ,1991-01-17,PERUANA,1159918795,CE,PERU,0
T0001197,PERSONA_JURIDICA,TORRES GARCIA TRADING CIA 3767,,,,411586438,NIT,MEXICO,0
T0001198,PERSONA_JURIDICA,LOPEZ GARCIA SERVICIOS S. EN C. 4084,,,,114646795,NIT,COLOMBIA,0
T0001199,PERSONA_NATURAL,JORGE ANDRES,TORRES GARCIA,2000-08-02,MEXICANA,657394251,CE,COLOMBIA,0
T0001200,PERSONA_NATURAL,SARA LUISA,PEREZ HERNANDEZ,1997-02-27,ESPAÑOLA,M3201056,PASAPORTE,ECUADOR,0
T0001201,PERSONA_JURIDICA,GOMEZ GOMEZ HOLDING CIA 6815,,,,121640386,NIT,COLOMBIA,0
T0001202,PERSONA_NATURAL,JORGE CAMILA,RODRIGUEZ GOMEZ,1997-10-26,ESPAÑOLA,1795571915,CC,ECUADOR,0
T0001203,PERSONA_NATURAL,DANIEL JORGE,PEREZ HERNANDEZ,1967-08-07,VENEZOLANA,1418858175,CE,BRASIL,0
T0001204,PERSONA_NATURAL,DANIEL ANDRES,MARTINEZ GARCIA,1985-05-16,ECUATORIANA,R9499228,PASAPORTE,PERU,0
T0001205,PERSONA_NATURAL,LUISA CAMILA,PEREZ GARCIA,1999-04-15,ESTADOUNIDENSE,1219362444,CE,VENEZUELA,0
T0001206,PERSONA_NATURAL,ANA MARIA,GOMEZ GOMEZ,1985-03-07,BRASILEÑA,H2407420,PASAPORTE,MEXICO,0
T0001207,PERSONA_NATURAL,SARA ANA,RODRIGUEZ PEREZ,1970-12-19,ESPAÑOLA,585836780,CC,PERU,0
T0001208,PERSONA_NATURAL,LAURA JORGE,SANCHEZ LOPEZ,1991-04-11,BRASILEÑA,P9630721,PASAPORTE,ARGENTINA,0
T0001209,PERSONA_JURIDICA,GOMEZ GOMEZ LOGISTICA CIA 1279,,,,503389825,NIT,MEXICO,0
T0001210,PERSONA_NATURAL,MARIA JORGE,GOMEZ RODRIGUEZ,1962-08-28,VENEZOLANA,1911602858,CC,ESPAÑA,0
T0001211,PERSONA_NATURAL,DAVID JORGE,SANCHEZ RODRIGUEZ,1997-09-14,ESPAÑOLA,647267977,CC,VENEZUELA,0
T0001212,PERSONA_NATURAL,CARLOS SARA,HERNANDEZ TORRES,1970-10-12,MEXICANA,633192841,CC,ARGENTINA,0
T0001213,PERSONA_NATURAL,CAMILA SARA,LOPEZ TORRES,1988-05-16,BRASILEÑA,719050073,CC,MEXICO,0
T0001214,PERSONA_NATURAL,SARA LAURA,PEREZ LOPEZ,1976-03-05,BRASILEÑA,22031128,CC,ECUADOR,0
T0001215,PERSONA_NATURAL,LUISA SARA,GOMEZ TORRES,1979-06-04,COLOMBIANA,O3624846,PASAPORTE,VENEZUELA,0
T0001216,PERSONA_NATURAL,JORGE LUISA,LOPEZ PEREZ,1962-05-10,ESPAÑOLA,X6129639,PASAPORTE,USA,0
T0001217,PERSONA_NATURAL,DANIEL CARLOS,TORRES TORRES,1991-11-07,VENEZOLANA,E2727655,PASAPORTE,PERU,0
T0001218,PERSONA_NATURAL,CARLOS CAMILA,GOMEZ RODRIGUEZ,2001-09-19,ESPAÑOLA,1246211219,CE,ECUADOR,0
T0001219,PERSONA_JURIDICA,RAMIREZ SANCHEZ SERVICIOS LTDA 53,,,,941131677,NIT,PERU,0
T0001220,PERSONA_JURIDICA,GOMEZ RAMIREZ SERVICIOS LTDA 2710,,,,610525583,NIT,COLOMBIA,0
T0001221,PERSONA_NATURAL,JORGE ANDRES,MARTINEZ TORRES,1975-07-25,ESPAÑOLA,P6955771,PASAPORTE,ECUADOR,0
T0001222,PERSONA_NATURAL,ANA JORGE,GOMEZ RAMIREZ,2003-04-06,ECUATORIANA,E8335724,PASAPORTE,ARGENTINA,0
T0001223,PERSONA_NATURAL,SARA CARLOS,GOMEZ TORRES,1977-11-12,MEXICANA,1870018130,CC,USA,0
T0001224,PERSONA_JURIDICA,LOPEZ GARCIA SERVICIOS S. EN C. 9181,,,,305067526,NIT,ESPAÑA,0
T0001225,PERSONA_NATURAL,SARA JUAN,MARTINEZ SANCHEZ,1973-09-07,COLOMBIANA,J6510502,PASAPORTE,VENEZUELA,0
T0001226,PERSONA_JURIDICA,HERNANDEZ TORRES COMERCIAL S. EN C. 4483,,,,136000620,NIT,ECUADOR,0
T0001227,PERSONA_NATURAL,DANIEL JUAN,HERNANDEZ HERNANDEZ,1990-01-19,COLOMBIANA,P8624921,PASAPORTE,BRASIL,0
T0001228,PERSONA_NATURAL,SARA MARIA,RODRIGUEZ RODRIGUEZ,1955-07-27,VENEZOLANA,962147016,CC,COLOMBIA,0
T0001229,PERSONA_NATURAL,JORGE CARLOS,MARTINEZ RAMIREZ,1997-01-11,ESTADOUNIDENSE,F7144765,PASAPORTE,ARGENTINA,0
T0001230,PERSONA_NATURAL,DAVID DANIEL,GARCIA PEREZ,1954-04-27,ARGENTINA,1575423390,CC,ECUADOR,0
T0001231,PERSONA_NATURAL,LAURA JUAN,HERNANDEZ RAMIREZ,1962-12-17,ESPAÑOLA,1374295736,CC,COLOMBIA,0
T0001232,PERSONA_NATURAL,JORGE ANA,GOMEZ LOPEZ,1979-10-27,VENEZOLANA,O2479112,PASAPORTE,VENEZUELA,0
T0001233,PERSONA_JURIDICA,RODRIGUEZ GOMEZ SERVICIOS S.A. 9695,,,,772833401,NIT,COLOMBIA,0
T0001234,PERSONA_NATURAL,JUAN LUISA,LOPEZ SANCHEZ,1955-12-08,ECUATORIANA,U4205892,PASAPORTE,MEXICO,0
T0001235,PERSONA_NATURAL,DANIEL SARA,HERNANDEZ RODRIGUEZ,1967-03-19,ESTADOUNIDENSE,495246218,CE,PERU,0
T0001236,PERSONA_NATURAL,ANA CAMILA,LOPEZ LOPEZ,1999-11-17,BRASILEÑA,V3860089,PASAPORTE,COLOMBIA,0
T0001237,PERSONA_JURIDICA,RAMIREZ GARCIA SERVICIOS S. EN C. 9327,,,,326197454,NIT,ESPAÑA,0
T0001238,PERSONA_NATURAL,CARLOS ANDRES,TORRES MARTINEZ,1966-04-15,ECUATORIANA,1989806784,CC,VENEZUELA,0
T0001239,PERSONA_NATURAL,DAVID MARIA,SANCHEZ RODRIGUEZ,1979-10-11,ESTADOUNIDENSE,M1567905,PASAPORTE,USA,0
T0001240,PERSONA_NATURAL,ANDRES MARIA,LOPEZ HERNANDEZ,1960-08-18,MEXICANA,952764027,CC,BRASIL,0
T0001241,PERSONA_NATURAL,SARA DANIEL,GARCIA SANCHEZ,2003-04-09,ESTADOUNIDENSE,K9095972,PASAPORTE,ESPAÑA,0
T0001242,PERSONA_NATURAL,LUISA JORGE,GOMEZ GARCIA,1977-05-19,ESPAÑOLA,A3751899,PASAPORTE,ARGENTINA,0
T0001243,PERSONA_NATURAL,CARLOS CAMILA,TORRES MARTINEZ,1986-03-05,ESTADOUNIDENSE,204129622,CC,ECUADOR,0
T0001244,PERSONA_NATURAL,MARIA ANA,SANCHEZ GARCIA,1960-08-01,MEXICANA,1906130872,CC,MEXICO,0
T0001245,PERSONA_NATURAL,ANDRES MARIA,MARTINEZ MARTINEZ,1977-02-24,PERUANA,1480411210,CC,ARGENTINA,0
T0001246,PERSONA_NATURAL,ANA JUAN,SANCHEZ RODRIGUEZ,1972-02-16,ARGENTINA,M4565022,PASAPORTE,BRASIL,0
T0001247,PERSONA_NATURAL,LAURA SARA,MARTINEZ GOMEZ,1974-03-11,MEXICANA,1670564149,CE,USA,0
T0001248,PERSONA_JURIDICA,GARCIA RAMIREZ LOGISTICA S. EN C. 1184,,,,472445806,NIT,BRASIL,0
T0001249,PERSONA_NATURAL,CAMILA JUAN,MARTINEZ RAMIREZ,1961-04-12,ESTADOUNIDENSE,1086868404,CE,COLOMBIA,0
T0001250,PERSONA_NATURAL,DANIEL ANDRES,MARTINEZ RODRIGUEZ,1981-04-02,PERUANA,945015739,CE,VENEZUELA,0
T0001251,PERSONA_NATURAL,DAVID MARIA,GARCIA RODRIGUEZ,1968-05-13,BRASILEÑA,570535098,CC,ESPAÑA,0
T0001252,PERSONA_NATURAL,DANIEL DAVID,TORRES GOMEZ,1979-02-12,VENEZOLANA,M1205092,PASAPORTE,MEXICO,0
T0001253,PERSONA_NATURAL,CAMILA JORGE,GARCIA SANCHEZ,1950-08-21,ESPAÑOLA,1666482258,CE,COLOMBIA,0
T0001254,PERSONA_NATURAL,CARLOS SARA,GOMEZ RAMIREZ,2001-08-17,ESTADOUNIDENSE,1539058772,CE,USA,0
T0001255,PERSONA_NATURAL,ANA ANDRES,RODRIGUEZ GARCIA,1984-07-28,VENEZOLANA,24939461,CC,USA,0
T0001256,PERSONA_JURIDICA,RAMIREZ HERNANDEZ SERVICIOS S. EN C. 7464,,,,566957486,NIT,COLOMBIA,0
T0001257,PERSONA_NATURAL,JUAN ANDRES,SANCHEZ SANCHEZ,1973-01-20,ESTADOUNIDENSE,924189239,CE,USA,0
T0001258,PERSONA_NATURAL,SARA DANIEL,MARTINEZ RODRIGUEZ,1955-09-04,MEXICANA,E9278722,PASAPORTE,ESPAÑA,0
T0001259,PERSONA_JURIDICA,LOPEZ SANCHEZ GROUP S. EN C. 4009,,,,986450549,NIT,ARGENTINA,0
T0001260,PERSONA_NATURAL,JUAN ANDRES,LOPEZ LOPEZ,1952-03-20,VENEZOLANA,1110869436,CE,VENEZUELA,0
T0001261,PERSONA_NATURAL,DAVID SARA,HERNANDEZ GARCIA,1975-01-06,ECUATORIANA,U2330152,PASAPORTE,ESPAÑA,0
T0001262,PERSONA_JURIDICA,MARTINEZ RAMIREZ INVERSIONES S.A. 8432,,,,678916093,NIT,PERU,0
T0001263,PERSONA_NATURAL,JUAN ANA,RAMIREZ SANCHEZ,1963-07-09,MEXICANA,1087098524,CE,COLOMBIA,0
T0001264,PERSONA_NATURAL,MARIA DAVID,HERNANDEZ HERNANDEZ,1950-07-07,COLOMBIANA,1421353713,CE,MEXICO,0
T0001265,PERSONA_NATURAL,LAURA CAMILA,LOPEZ GOMEZ,1964-04-01,ESTADOUNIDENSE,146842930,CC,ECUADOR,0
T0001266,PERSONA_NATURAL,MARIA LAURA,SANCHEZ MARTINEZ,1984-12-06,ESPAÑOLA,875303258,CE,COLOMBIA,0
T0001267,PERSONA_NATURAL,CAMILA ANDRES,SANCHEZ TORRES,1972-02-07,ARGENTINA,662905316,CE,ECUADOR,0
T0001268,PERSONA_NATURAL,LAURA DAVID,SANCHEZ PEREZ,1959-10-19,MEXICANA,L8239885,PASAPORTE,ESPAÑA,0
T0001269,PERSONA_JURIDICA,PEREZ HERNANDEZ HOLDING CIA 8050,,,,352027142,NIT,ESPAÑA,0
T0001270,PERSONA_JURIDICA,RODRIGUEZ GARCIA HOLDING SAS 1598,,,,524933004,NIT,PERU,0
